sample_date,product,version,os,arch,extension,downloads,downloads_total
2022-03-01,apple_support,0.10.0,any,src,tar.gz,603,235881
2022-03-01,apple_support,0.11.0,any,src,tar.gz,1095,174101
2022-03-01,apple_support,0.12.0,any,src,tar.gz,0,11
2022-03-01,apple_support,0.12.1,any,src,tar.gz,925,18077
2022-03-01,apple_support,0.13.0,any,src,tar.gz,438,6322
2022-03-01,apple_support,0.6.0,any,src,tar.gz,59,340043
2022-03-01,apple_support,0.7.0,any,src,tar.gz,0,3170
2022-03-01,apple_support,0.7.1,any,src,tar.gz,1056,1744811
2022-03-01,apple_support,0.7.2,any,src,tar.gz,161,460064
2022-03-01,apple_support,0.8.0,any,src,tar.gz,188,35289
2022-03-01,apple_support,0.9.0,any,src,tar.gz,8,8586
2022-03-01,apple_support,0.9.1,any,src,tar.gz,195,121752
2022-03-01,apple_support,0.9.2,any,src,tar.gz,333,78813
2022-03-01,bazel,0.1.0,macos,x86_64,sh,0,1081
2022-03-01,bazel,0.1.0,linux,x86_64,sh,0,6200
2022-03-01,bazel,0.1.1,macos,x86_64,sh,0,2172
2022-03-01,bazel,0.1.1,linux,x86_64,sh,0,10936
2022-03-01,bazel,0.1.1,macos,x86_64,sh,0,224
2022-03-01,bazel,0.1.1,linux,x86_64,sh,0,978
2022-03-01,bazel,0.1.2,macos,x86_64,sh,0,1585
2022-03-01,bazel,0.1.2,linux,x86_64,sh,0,6446
2022-03-01,bazel,0.1.2,macos,x86_64,sh,0,98
2022-03-01,bazel,0.1.2,linux,x86_64,sh,0,338
2022-03-01,bazel,0.1.2,linux,x86_64,deb,0,116
2022-03-01,bazel,0.1.2,linux,x86_64,deb,0,439
2022-03-01,bazel,0.1.3,macos,x86_64,sh,0,390
2022-03-01,bazel,0.1.3,linux,x86_64,sh,0,1664
2022-03-01,bazel,0.1.3,macos,x86_64,sh,0,46
2022-03-01,bazel,0.1.3,linux,x86_64,sh,0,232
2022-03-01,bazel,0.1.3,linux,x86_64,deb,0,64
2022-03-01,bazel,0.1.3,linux,x86_64,deb,0,124
2022-03-01,bazel,0.1.4,macos,x86_64,sh,0,949
2022-03-01,bazel,0.1.4,linux,x86_64,sh,0,5798
2022-03-01,bazel,0.1.4,macos,x86_64,sh,0,65
2022-03-01,bazel,0.1.4,linux,x86_64,sh,0,468
2022-03-01,bazel,0.1.4,linux,x86_64,deb,0,131
2022-03-01,bazel,0.1.4,linux,x86_64,deb,0,521
2022-03-01,bazel,0.1.5,macos,x86_64,sh,0,690
2022-03-01,bazel,0.1.5,linux,x86_64,sh,0,3971
2022-03-01,bazel,0.1.5,macos,x86_64,sh,0,51
2022-03-01,bazel,0.1.5,linux,x86_64,sh,0,374
2022-03-01,bazel,0.1.5,linux,x86_64,deb,0,71
2022-03-01,bazel,0.1.5,linux,x86_64,deb,0,264
2022-03-01,bazel,0.10.0,any,,zip,7,22370
2022-03-01,bazel,0.10.0,macos,x86_64,sh,0,19172
2022-03-01,bazel,0.10.0,linux,x86_64,sh,1,105001
2022-03-01,bazel,0.10.0,windows,x86_64,exe,0,2002
2022-03-01,bazel,0.10.0,windows,x86_64,zip,0,1990
