sample_date,product,version,os,arch,extension,downloads,downloads_total
2022-01-01,apple_support,0.10.0,any,src,tar.gz,630,204204
2022-01-01,apple_support,0.11.0,any,src,tar.gz,404,111068
2022-01-01,apple_support,0.6.0,any,src,tar.gz,20,338100
2022-01-01,apple_support,0.7.0,any,src,tar.gz,0,3170
2022-01-01,apple_support,0.7.1,any,src,tar.gz,220,1699685
2022-01-01,apple_support,0.7.2,any,src,tar.gz,65,446290
2022-01-01,apple_support,0.8.0,any,src,tar.gz,2,28330
2022-01-01,apple_support,0.9.0,any,src,tar.gz,0,8274
2022-01-01,apple_support,0.9.1,any,src,tar.gz,58,108002
2022-01-01,apple_support,0.9.2,any,src,tar.gz,203,63233
2022-01-01,bazel,0.1.0,macos,x86_64,sh,0,1078
2022-01-01,bazel,0.1.0,linux,x86_64,sh,0,6189
2022-01-01,bazel,0.1.1,macos,x86_64,sh,0,2169
2022-01-01,bazel,0.1.1,linux,x86_64,sh,0,10931
2022-01-01,bazel,0.1.1,macos,x86_64,sh,0,221
2022-01-01,bazel,0.1.1,linux,x86_64,sh,0,976
2022-01-01,bazel,0.1.2,macos,x86_64,sh,0,1583
2022-01-01,bazel,0.1.2,linux,x86_64,sh,0,6444
2022-01-01,bazel,0.1.2,macos,x86_64,sh,0,96
2022-01-01,bazel,0.1.2,linux,x86_64,sh,0,336
2022-01-01,bazel,0.1.2,linux,x86_64,deb,0,114
2022-01-01,bazel,0.1.2,linux,x86_64,deb,0,437
2022-01-01,bazel,0.1.3,macos,x86_64,sh,0,387
2022-01-01,bazel,0.1.3,linux,x86_64,sh,0,1656
2022-01-01,bazel,0.1.3,macos,x86_64,sh,0,43
2022-01-01,bazel,0.1.3,linux,x86_64,sh,0,229
2022-01-01,bazel,0.1.3,linux,x86_64,deb,0,62
2022-01-01,bazel,0.1.3,linux,x86_64,deb,0,122
2022-01-01,bazel,0.1.4,macos,x86_64,sh,0,947
2022-01-01,bazel,0.1.4,linux,x86_64,sh,0,5795
2022-01-01,bazel,0.1.4,macos,x86_64,sh,0,63
2022-01-01,bazel,0.1.4,linux,x86_64,sh,0,466
2022-01-01,bazel,0.1.4,linux,x86_64,deb,0,129
2022-01-01,bazel,0.1.4,linux,x86_64,deb,0,519
2022-01-01,bazel,0.1.5,macos,x86_64,sh,0,687
2022-01-01,bazel,0.1.5,linux,x86_64,sh,0,3968
2022-01-01,bazel,0.1.5,macos,x86_64,sh,0,49
2022-01-01,bazel,0.1.5,linux,x86_64,sh,0,372
2022-01-01,bazel,0.1.5,linux,x86_64,deb,0,69
2022-01-01,bazel,0.1.5,linux,x86_64,deb,0,262
2022-01-01,bazel,0.10.0,any,,zip,1,22221
2022-01-01,bazel,0.10.0,macos,x86_64,sh,0,19167
2022-01-01,bazel,0.10.0,linux,x86_64,sh,0,104968
2022-01-01,bazel,0.10.0,windows,x86_64,exe,0,1998
2022-01-01,bazel,0.10.0,windows,x86_64,zip,0,1988
2022-01-01,bazel,0.10.0,macos,x86_64,sh,0,636
2022-01-01,bazel,0.10.0,linux,x86_64,sh,0,2553
2022-01-01,bazel,0.10.0,windows,x86_64,exe,0,171
2022-01-01,bazel,0.10.0,windows,x86_64,zip,0,599
2022-01-01,bazel,0.10.0,linux,x86_64,deb,0,2576
2022-01-01,bazel,0.10.1,any,,zip,0,3170
2022-01-01,bazel,0.10.1,macos,x86_64,sh,0,4137
2022-01-01,bazel,0.10.1,linux,x86_64,sh,0,36410
2022-01-01,bazel,0.10.1,windows,x86_64,exe,0,1244
2022-01-01,bazel,0.10.1,windows,x86_64,zip,0,249
2022-01-01,bazel,0.10.1,macos,x86_64,sh,0,378
2022-01-01,bazel,0.10.1,linux,x86_64,sh,0,729
2022-01-01,bazel,0.10.1,windows,x86_64,exe,0,679
2022-01-01,bazel,0.10.1,windows,x86_64,zip,0,43
2022-01-01,bazel,0.10.1,linux,x86_64,deb,0,11840
2022-01-01,bazel,0.11.0,any,,zip,0,5034
2022-01-01,bazel,0.11.0,macos,x86_64,sh,0,40406
2022-01-01,bazel,0.11.0,linux,x86_64,sh,0,192899
2022-01-01,bazel,0.11.0,windows,x86_64,exe,0,1507
2022-01-01,bazel,0.11.0,windows,x86_64,zip,0,2634
2022-01-01,bazel,0.11.0,macos,x86_64,sh,0,334
2022-01-01,bazel,0.11.0,linux,x86_64,sh,0,3062
2022-01-01,bazel,0.11.0,windows,x86_64,exe,0,127
2022-01-01,bazel,0.11.0,windows,x86_64,zip,0,66
2022-01-01,bazel,0.11.0,linux,x86_64,deb,0,15594
2022-01-01,bazel,0.11.1,linux,x86_64,deb,0,14986
2022-01-01,bazel,0.11.1,any,,zip,0,10077
2022-01-01,bazel,0.11.1,macos,x86_64,sh,0,3440
2022-01-01,bazel,0.11.1,linux,x86_64,sh,0,28111
2022-01-01,bazel,0.11.1,windows,x86_64,exe,0,3448
2022-01-01,bazel,0.11.1,windows,x86_64,zip,0,9565
2022-01-01,bazel,0.11.1,macos,x86_64,sh,0,477
2022-01-01,bazel,0.11.1,linux,x86_64,sh,0,3938
2022-01-01,bazel,0.11.1,windows,x86_64,exe,0,662
2022-01-01,bazel,0.11.1,windows,x86_64,zip,0,181
