apple_support.0.7.0.tar.gz|apple_support|0.7.0|src|any|tar.gz|standalone|True|{}
bazel-0.14.0-installer-darwin-x86_64.sh|bazel|0.14.0|x86_64|macos|sh|installer|True|{}
bazel-0.14.0-installer-linux-x86_64.sh|bazel|0.14.0|x86_64|linux|sh|installer|True|{}
bazel-0.14.0-linux-x86_64|bazel|0.14.0|x86_64|linux||standalone|True|{}
bazel_0.14.0-linux-x86_64.deb|bazel|0.14.0|x86_64|linux|deb|standalone|True|{}
bazel-0.14.0-windows-x86_64.exe|bazel|0.14.0|x86_64|windows|exe|standalone|True|{}
bazel-0.14.0-windows-x86_64.zip|bazel|0.14.0|x86_64|windows|zip|standalone|True|{}
bazel-0.14.1-darwin-x86_64|bazel|0.14.1|x86_64|macos||standalone|True|{}
bazel-0.14.1-dist.zip|bazel|0.14.1||any|zip|standalone|True|{}
bazel-0.14.1-installer-darwin-x86_64.sh|bazel|0.14.1|x86_64|macos|sh|installer|True|{}
bazel-0.14.1-installer-linux-x86_64.sh|bazel|0.14.1|x86_64|linux|sh|installer|True|{}
bazel-0.14.1-linux-x86_64|bazel|0.14.1|x86_64|linux||standalone|True|{}
bazel_0.14.1-linux-x86_64.deb|bazel|0.14.1|x86_64|linux|deb|standalone|True|{}
bazel-0.14.1-windows-x86_64.exe|bazel|0.14.1|x86_64|windows|exe|standalone|True|{}
bazel-0.14.1-windows-x86_64.zip|bazel|0.14.1|x86_64|windows|zip|standalone|True|{}
bazel-0.1.4-installer-darwin-x86_64.sh|bazel|0.1.4|x86_64|macos|sh|installer|True|{}
bazel-0.1.4-installer-linux-x86_64.sh|bazel|0.1.4|x86_64|linux|sh|installer|True|{}
bazel-0.1.4-jdk7-installer-darwin-x86_64.sh|bazel|0.1.4|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.1.4-jdk7-installer-linux-x86_64.sh|bazel|0.1.4|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.1.4-jdk7-linux-x86_64.deb|bazel|0.1.4|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.1.4-linux-x86_64.deb|bazel|0.1.4|x86_64|linux|deb|standalone|True|{}
bazel-0.15.0-darwin-x86_64|bazel|0.15.0|x86_64|macos||standalone|True|{}
bazel-0.15.0-dist.zip|bazel|0.15.0||any|zip|standalone|True|{}
bazel-0.15.0-installer-darwin-x86_64.sh|bazel|0.15.0|x86_64|macos|sh|installer|True|{}
bazel-0.15.0-installer-linux-x86_64.sh|bazel|0.15.0|x86_64|linux|sh|installer|True|{}
bazel-0.15.0-linux-x86_64|bazel|0.15.0|x86_64|linux||standalone|True|{}
bazel_0.15.0-linux-x86_64.deb|bazel|0.15.0|x86_64|linux|deb|standalone|True|{}
bazel-0.15.0-windows-x86_64.exe|bazel|0.15.0|x86_64|windows|exe|standalone|True|{}
bazel-0.15.0-windows-x86_64.zip|bazel|0.15.0|x86_64|windows|zip|standalone|True|{}
bazel-0.15.1-darwin-x86_64|bazel|0.15.1|x86_64|macos||standalone|True|{}
bazel-0.15.1-dist.zip|bazel|0.15.1||any|zip|standalone|True|{}
bazel-0.15.1-installer-darwin-x86_64.sh|bazel|0.15.1|x86_64|macos|sh|installer|True|{}
bazel-0.15.1-installer-linux-x86_64.sh|bazel|0.15.1|x86_64|linux|sh|installer|True|{}
bazel-0.15.1-linux-x86_64|bazel|0.15.1|x86_64|linux||standalone|True|{}
bazel_0.15.1-linux-x86_64.deb|bazel|0.15.1|x86_64|linux|deb|standalone|True|{}
bazel-0.15.1-windows-x86_64.exe|bazel|0.15.1|x86_64|windows|exe|standalone|True|{}
bazel-0.15.1-windows-x86_64.zip|bazel|0.15.1|x86_64|windows|zip|standalone|True|{}
bazel-0.15.2-darwin-x86_64|bazel|0.15.2|x86_64|macos||standalone|True|{}
bazel-0.15.2-dist.zip|bazel|0.15.2||any|zip|standalone|True|{}
bazel-0.15.2-installer-darwin-x86_64.sh|bazel|0.15.2|x86_64|macos|sh|installer|True|{}
bazel-0.15.2-installer-linux-x86_64.sh|bazel|0.15.2|x86_64|linux|sh|installer|True|{}
bazel-0.15.2-linux-x86_64|bazel|0.15.2|x86_64|linux||standalone|True|{}
bazel_0.15.2-linux-x86_64.deb|bazel|0.15.2|x86_64|linux|deb|standalone|True|{}
bazel-0.15.2-windows-x86_64.exe|bazel|0.15.2|x86_64|windows|exe|standalone|True|{}
bazel-0.15.2-windows-x86_64.zip|bazel|0.15.2|x86_64|windows|zip|standalone|True|{}
bazel-0.1.5-installer-darwin-x86_64.sh|bazel|0.1.5|x86_64|macos|sh|installer|True|{}
bazel-0.1.5-installer-linux-x86_64.sh|bazel|0.1.5|x86_64|linux|sh|installer|True|{}
bazel-0.1.5-jdk7-installer-darwin-x86_64.sh|bazel|0.1.5|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.1.5-jdk7-installer-linux-x86_64.sh|bazel|0.1.5|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.1.5-jdk7-linux-x86_64.deb|bazel|0.1.5|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.1.5-linux-x86_64.deb|bazel|0.1.5|x86_64|linux|deb|standalone|True|{}
bazel-0.16.0-darwin-x86_64|bazel|0.16.0|x86_64|macos||standalone|True|{}
bazel-0.16.0-dist.zip|bazel|0.16.0||any|zip|standalone|True|{}
bazel-0.16.0-installer-darwin-x86_64.sh|bazel|0.16.0|x86_64|macos|sh|installer|True|{}
bazel-0.16.0-installer-linux-x86_64.sh|bazel|0.16.0|x86_64|linux|sh|installer|True|{}
bazel-0.16.0-linux-x86_64|bazel|0.16.0|x86_64|linux||standalone|True|{}
bazel_0.16.0-linux-x86_64.deb|bazel|0.16.0|x86_64|linux|deb|standalone|True|{}
bazel-0.16.0-windows-x86_64.exe|bazel|0.16.0|x86_64|windows|exe|standalone|True|{}
bazel-0.16.0-windows-x86_64.zip|bazel|0.16.0|x86_64|windows|zip|standalone|True|{}
bazel-0.16.1-darwin-x86_64|bazel|0.16.1|x86_64|macos||standalone|True|{}
bazel-0.16.1-dist.zip|bazel|0.16.1||any|zip|standalone|True|{}
bazel-0.16.1-installer-darwin-x86_64.sh|bazel|0.16.1|x86_64|macos|sh|installer|True|{}
bazel-0.16.1-installer-linux-x86_64.sh|bazel|0.16.1|x86_64|linux|sh|installer|True|{}
bazel-0.16.1-linux-x86_64|bazel|0.16.1|x86_64|linux||standalone|True|{}
bazel_0.16.1-linux-x86_64.deb|bazel|0.16.1|x86_64|linux|deb|standalone|True|{}
bazel-0.16.1-windows-x86_64.exe|bazel|0.16.1|x86_64|windows|exe|standalone|True|{}
bazel-0.16.1-windows-x86_64.zip|bazel|0.16.1|x86_64|windows|zip|standalone|True|{}
bazel-0.17.1-darwin-x86_64|bazel|0.17.1|x86_64|macos||standalone|True|{}
bazel-0.17.1-dist.zip|bazel|0.17.1||any|zip|standalone|True|{}
bazel-0.17.1-installer-darwin-x86_64.sh|bazel|0.17.1|x86_64|macos|sh|installer|True|{}
bazel-0.17.1-installer-linux-x86_64.sh|bazel|0.17.1|x86_64|linux|sh|installer|True|{}
bazel-0.17.1-linux-x86_64|bazel|0.17.1|x86_64|linux||standalone|True|{}
bazel_0.17.1-linux-x86_64.deb|bazel|0.17.1|x86_64|linux|deb|standalone|True|{}
bazel-0.17.1-windows-x86_64.exe|bazel|0.17.1|x86_64|windows|exe|standalone|True|{}
bazel-0.17.1-windows-x86_64.zip|bazel|0.17.1|x86_64|windows|zip|standalone|True|{}
bazel-0.17.2-darwin-x86_64|bazel|0.17.2|x86_64|macos||standalone|True|{}
bazel-0.17.2-dist.zip|bazel|0.17.2||any|zip|standalone|True|{}
bazel-0.17.2-installer-darwin-x86_64.sh|bazel|0.17.2|x86_64|macos|sh|installer|True|{}
bazel-0.17.2-installer-linux-x86_64.sh|bazel|0.17.2|x86_64|linux|sh|installer|True|{}
bazel-0.17.2-linux-x86_64|bazel|0.17.2|x86_64|linux||standalone|True|{}
bazel_0.17.2-linux-x86_64.deb|bazel|0.17.2|x86_64|linux|deb|standalone|True|{}
bazel-0.17.2-windows-x86_64.exe|bazel|0.17.2|x86_64|windows|exe|standalone|True|{}
bazel-0.17.2-windows-x86_64.zip|bazel|0.17.2|x86_64|windows|zip|standalone|True|{}
bazel-0.18.0-darwin-x86_64|bazel|0.18.0|x86_64|macos||standalone|True|{}
bazel-0.18.0-dist.zip|bazel|0.18.0||any|zip|standalone|True|{}
bazel-0.18.0-installer-darwin-x86_64.sh|bazel|0.18.0|x86_64|macos|sh|installer|True|{}
bazel-0.18.0-installer-linux-x86_64.sh|bazel|0.18.0|x86_64|linux|sh|installer|True|{}
bazel-0.18.0-linux-x86_64|bazel|0.18.0|x86_64|linux||standalone|True|{}
bazel_0.18.0-linux-x86_64.deb|bazel|0.18.0|x86_64|linux|deb|standalone|True|{}
bazel-0.18.0-windows-x86_64.exe|bazel|0.18.0|x86_64|windows|exe|standalone|True|{}
bazel-0.18.0-windows-x86_64.zip|bazel|0.18.0|x86_64|windows|zip|standalone|True|{}
bazel-0.18.1-darwin-x86_64|bazel|0.18.1|x86_64|macos||standalone|True|{}
bazel-0.18.1-dist.zip|bazel|0.18.1||any|zip|standalone|True|{}
bazel-0.18.1-installer-darwin-x86_64.sh|bazel|0.18.1|x86_64|macos|sh|installer|True|{}
bazel-0.18.1-installer-linux-x86_64.sh|bazel|0.18.1|x86_64|linux|sh|installer|True|{}
bazel-0.18.1-linux-x86_64|bazel|0.18.1|x86_64|linux||standalone|True|{}
bazel_0.18.1-linux-x86_64.deb|bazel|0.18.1|x86_64|linux|deb|standalone|True|{}
bazel-0.18.1-windows-x86_64.exe|bazel|0.18.1|x86_64|windows|exe|standalone|True|{}
bazel-0.18.1-windows-x86_64.zip|bazel|0.18.1|x86_64|windows|zip|standalone|True|{}
bazel-0.19.0-darwin-x86_64|bazel|0.19.0|x86_64|macos||standalone|True|{}
bazel-0.19.0-dist.zip|bazel|0.19.0||any|zip|standalone|True|{}
bazel-0.19.0-installer-darwin-x86_64.sh|bazel|0.19.0|x86_64|macos|sh|installer|True|{}
bazel-0.19.0-installer-linux-x86_64.sh|bazel|0.19.0|x86_64|linux|sh|installer|True|{}
bazel-0.19.0-linux-x86_64|bazel|0.19.0|x86_64|linux||standalone|True|{}
bazel_0.19.0-linux-x86_64.deb|bazel|0.19.0|x86_64|linux|deb|standalone|True|{}
bazel-0.19.0-windows-x86_64.exe|bazel|0.19.0|x86_64|windows|exe|standalone|True|{}
bazel-0.19.0-windows-x86_64.zip|bazel|0.19.0|x86_64|windows|zip|standalone|True|{}
bazel-0.19.1-darwin-x86_64|bazel|0.19.1|x86_64|macos||standalone|True|{}
bazel-0.19.1-dist.zip|bazel|0.19.1||any|zip|standalone|True|{}
bazel-0.19.1-installer-darwin-x86_64.sh|bazel|0.19.1|x86_64|macos|sh|installer|True|{}
bazel-0.19.1-installer-linux-x86_64.sh|bazel|0.19.1|x86_64|linux|sh|installer|True|{}
bazel-0.19.1-linux-x86_64|bazel|0.19.1|x86_64|linux||standalone|True|{}
bazel_0.19.1-linux-x86_64.deb|bazel|0.19.1|x86_64|linux|deb|standalone|True|{}
bazel-0.19.1-windows-x86_64.exe|bazel|0.19.1|x86_64|windows|exe|standalone|True|{}
bazel-0.19.1-windows-x86_64.zip|bazel|0.19.1|x86_64|windows|zip|standalone|True|{}
bazel-0.19.2-darwin-x86_64|bazel|0.19.2|x86_64|macos||standalone|True|{}
bazel-0.19.2-dist.zip|bazel|0.19.2||any|zip|standalone|True|{}
bazel-0.19.2-installer-darwin-x86_64.sh|bazel|0.19.2|x86_64|macos|sh|installer|True|{}
bazel-0.19.2-installer-linux-x86_64.sh|bazel|0.19.2|x86_64|linux|sh|installer|True|{}
bazel-0.19.2-linux-x86_64|bazel|0.19.2|x86_64|linux||standalone|True|{}
bazel_0.19.2-linux-x86_64.deb|bazel|0.19.2|x86_64|linux|deb|standalone|True|{}
bazel-0.19.2-windows-x86_64.exe|bazel|0.19.2|x86_64|windows|exe|standalone|True|{}
bazel-0.19.2-windows-x86_64.zip|bazel|0.19.2|x86_64|windows|zip|standalone|True|{}
bazel-0.20.0-darwin-x86_64|bazel|0.20.0|x86_64|macos||standalone|True|{}
bazel-0.20.0-dist.zip|bazel|0.20.0||any|zip|standalone|True|{}
bazel-0.20.0-installer-darwin-x86_64.sh|bazel|0.20.0|x86_64|macos|sh|installer|True|{}
bazel-0.20.0-installer-linux-x86_64.sh|bazel|0.20.0|x86_64|linux|sh|installer|True|{}
bazel-0.20.0-linux-x86_64|bazel|0.20.0|x86_64|linux||standalone|True|{}
bazel_0.20.0-linux-x86_64.deb|bazel|0.20.0|x86_64|linux|deb|standalone|True|{}
bazel-0.20.0-windows-x86_64.exe|bazel|0.20.0|x86_64|windows|exe|standalone|True|{}
bazel-0.20.0-windows-x86_64.zip|bazel|0.20.0|x86_64|windows|zip|standalone|True|{}
bazel-0.2.0-installer-darwin-x86_64.sh|bazel|0.2.0|x86_64|macos|sh|installer|True|{}
bazel-0.2.0-installer-linux-x86_64.sh|bazel|0.2.0|x86_64|linux|sh|installer|True|{}
bazel-0.2.0-jdk7-installer-darwin-x86_64.sh|bazel|0.2.0|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.2.0-jdk7-installer-linux-x86_64.sh|bazel|0.2.0|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.2.0-jdk7-linux-x86_64.deb|bazel|0.2.0|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.2.0-linux-x86_64.deb|bazel|0.2.0|x86_64|linux|deb|standalone|True|{}
bazel-0.21.0-darwin-x86_64|bazel|0.21.0|x86_64|macos||standalone|True|{}
bazel-0.21.0-dist.zip|bazel|0.21.0||any|zip|standalone|True|{}
bazel-0.21.0-installer-darwin-x86_64.sh|bazel|0.21.0|x86_64|macos|sh|installer|True|{}
bazel-0.21.0-installer-linux-x86_64.sh|bazel|0.21.0|x86_64|linux|sh|installer|True|{}
bazel-0.21.0-linux-x86_64|bazel|0.21.0|x86_64|linux||standalone|True|{}
bazel_0.21.0-linux-x86_64.deb|bazel|0.21.0|x86_64|linux|deb|standalone|True|{}
bazel-0.21.0-windows-x86_64.exe|bazel|0.21.0|x86_64|windows|exe|standalone|True|{}
bazel-0.21.0-windows-x86_64.zip|bazel|0.21.0|x86_64|windows|zip|standalone|True|{}
bazel-0.2.1-installer-darwin-x86_64.sh|bazel|0.2.1|x86_64|macos|sh|installer|True|{}
bazel-0.2.1-installer-linux-x86_64.sh|bazel|0.2.1|x86_64|linux|sh|installer|True|{}
bazel-0.2.1-jdk7-installer-darwin-x86_64.sh|bazel|0.2.1|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.2.1-jdk7-installer-linux-x86_64.sh|bazel|0.2.1|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.2.1-jdk7-linux-x86_64.deb|bazel|0.2.1|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.2.1-linux-x86_64.deb|bazel|0.2.1|x86_64|linux|deb|standalone|True|{}
bazel-0.22.0-darwin-x86_64|bazel|0.22.0|x86_64|macos||standalone|True|{}
bazel-0.22.0-dist.zip|bazel|0.22.0||any|zip|standalone|True|{}
bazel-0.22.0-installer-darwin-x86_64.sh|bazel|0.22.0|x86_64|macos|sh|installer|True|{}
bazel-0.22.0-installer-linux-x86_64.sh|bazel|0.22.0|x86_64|linux|sh|installer|True|{}
bazel-0.22.0-linux-x86_64|bazel|0.22.0|x86_64|linux||standalone|True|{}
bazel_0.22.0-linux-x86_64.deb|bazel|0.22.0|x86_64|linux|deb|standalone|True|{}
bazel-0.22.0-windows-x86_64.exe|bazel|0.22.0|x86_64|windows|exe|standalone|True|{}
bazel-0.22.0-windows-x86_64.zip|bazel|0.22.0|x86_64|windows|zip|standalone|True|{}
bazel-0.2.2b-installer-darwin-x86_64.sh|bazel|0.2.2b|x86_64|macos|sh|installer|True|{}
bazel-0.2.2b-installer-linux-x86_64.sh|bazel|0.2.2b|x86_64|linux|sh|installer|True|{}
bazel-0.2.2b-jdk7-installer-darwin-x86_64.sh|bazel|0.2.2b|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.2.2b-jdk7-installer-linux-x86_64.sh|bazel|0.2.2b|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.2.2b-jdk7-linux-x86_64.deb|bazel|0.2.2b|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.2.2b-linux-x86_64.deb|bazel|0.2.2b|x86_64|linux|deb|standalone|True|{}
bazel-0.2.2-installer-darwin-x86_64.sh|bazel|0.2.2|x86_64|macos|sh|installer|True|{}
bazel-0.2.2-installer-linux-x86_64.sh|bazel|0.2.2|x86_64|linux|sh|installer|True|{}
bazel-0.2.2-jdk7-installer-darwin-x86_64.sh|bazel|0.2.2|x86_64|macos|sh|installer|True|{jdk7}
bazel-0.2.2-jdk7-installer-linux-x86_64.sh|bazel|0.2.2|x86_64|linux|sh|installer|True|{jdk7}
bazel_0.2.2-jdk7-linux-x86_64.deb|bazel|0.2.2|x86_64|linux|deb|standalone|True|{jdk7}
bazel_0.2.2-linux-x86_64.deb|bazel|0.2.2|x86_64|linux|deb|standalone|True|{}
bazel-0.23.0-darwin-x86_64|bazel|0.23.0|x86_64|macos||standalone|True|{}
bazel-0.23.0-dist.zip|bazel|0.23.0||any|zip|standalone|True|{}
bazel-0.23.0-installer-darwin-x86_64.sh|bazel|0.23.0|x86_64|macos|sh|installer|True|{}
bazel-0.23.0-installer-linux-x86_64.sh|bazel|0.23.0|x86_64|linux|sh|installer|True|{}
bazel-0.23.0-linux-x86_64|bazel|0.23.0|x86_64|linux||standalone|True|{}
bazel_0.23.0-linux-x86_64.deb|bazel|0.23.0|x86_64|linux|deb|standalone|True|{}
bazel-0.23.0-windows-x86_64.exe|bazel|0.23.0|x86_64|windows|exe|standalone|True|{}
bazel-0.23.0-windows-x86_64.zip|bazel|0.23.0|x86_64|windows|zip|standalone|True|{}
bazel-0.23.1-darwin-x86_64|bazel|0.23.1|x86_64|macos||standalone|True|{}
bazel-0.23.1-dist.zip|bazel|0.23.1||any|zip|standalone|True|{}
bazel-0.23.1-installer-darwin-x86_64.sh|bazel|0.23.1|x86_64|macos|sh|installer|True|{}
bazel-0.23.1-installer-linux-x86_64.sh|bazel|0.23.1|x86_64|linux|sh|installer|True|{}
bazel-0.23.1-linux-x86_64|bazel|0.23.1|x86_64|linux||standalone|True|{}
bazel_0.23.1-linux-x86_64.deb|bazel|0.23.1|x86_64|linux|deb|standalone|True|{}
bazel-0.23.1-windows-x86_64.exe|bazel|0.23.1|x86_64|windows|exe|standalone|True|{}
bazel-0.23.1-windows-x86_64.zip|bazel|0.23.1|x86_64|windows|zip|standalone|True|{}
bazel-0.23.2-darwin-x86_64|bazel|0.23.2|x86_64|macos||standalone|True|{}
bazel-0.23.2-dist.zip|bazel|0.23.2||any|zip|standalone|True|{}
